session,elev_gain_m,sport_type,average_temp,average_watts,kcal_exp,has_hr,avg_hr_bpm,max_hr_bpm,date,time,distance_km,moving_time_min,elapsed_time_min,avg_speed_kmh,max_speed_kmh,elev_gain_m_per_min,weekday,month,month_number,year
Lunch Run,61,NA,14,NA,NA,TRUE,131.1,146,2023-03-27,11H 31M 35S,6.52,44.45,46.1,8.8,18.45,1.37,Mon,Mar,3,2023
Lunch Run,22,NA,12,NA,NA,TRUE,150.2,178,2023-03-25,11H 8M 6S,7.76,50.55,51.78,9.21,19.99,0.44,Sat,Mar,3,2023
Evening Run,62,NA,17,NA,NA,TRUE,134.1,146,2023-03-23,19H 1M 9S,6.39,48.65,49.28,7.88,14.93,1.27,Thu,Mar,3,2023
Afternoon Run,49,NA,11,NA,NA,TRUE,134,150,2023-03-14,16H 20M 17S,6.65,46.88,47.97,8.51,14.22,1.05,Tue,Mar,3,2023
Gråkallen,380,NA,16,NA,NA,TRUE,120.5,142,2023-03-12,12H 15M 56S,4.95,69.48,128.07,4.27,29.1,5.47,Sun,Mar,3,2023
Bymarka med Klepto-Kjell,334,NA,15,NA,NA,TRUE,153.5,180,2023-03-11,11H 28M 49S,13.13,93.83,122.1,8.4,46.96,3.56,Sat,Mar,3,2023
Gråkallen,530,NA,19,NA,NA,TRUE,128.6,154,2023-03-09,12H 1M 59S,5.62,82.43,195.5,4.09,41.42,6.43,Thu,Mar,3,2023
Vassfjellet,3894.2,NA,12,NA,NA,TRUE,125.3,174,2023-03-07,9H 42M 52S,39.05,236.2,348.37,9.92,49.97,16.49,Tue,Mar,3,2023
Gråkallen,480,NA,18,NA,NA,TRUE,129.8,159,2023-03-05,9H 58M 3S,5.91,76.02,189.17,4.66,37.74,6.31,Sun,Mar,3,2023
Lunch Run,0,NA,27,NA,NA,TRUE,126.5,141,2023-03-03,12H 38M 29S,6.68,40.03,42.78,10.01,12.09,0,Fri,Mar,3,2023
Morning Run,0,NA,27,NA,NA,TRUE,122.1,137,2023-03-02,10H 35M 13S,4,30,31.77,8,9.59,0,Thu,Mar,3,2023
Morning Run,0,NA,26,NA,NA,TRUE,133.4,143,2023-02-27,8H 18M 27S,5.27,30.02,30.02,10.54,11.15,0,Mon,Feb,2,2023
Afternoon Run,68,NA,14,NA,NA,TRUE,143,163,2023-02-25,15H 9M 10S,6.65,41.3,41.55,9.66,13.5,1.65,Sat,Feb,2,2023
Molto Bene,20,NA,24,NA,NA,TRUE,144.8,176,2023-02-12,12H 17M 32S,11.16,75.62,81.82,8.86,16.12,0.26,Sun,Feb,2,2023
Padova River 🇮🇹,7,NA,19,NA,NA,TRUE,143.7,182,2023-02-10,16H 46M 56S,10.04,66.62,68.43,9.04,28.22,0.11,Fri,Feb,2,2023
Courmayeur vol 2 🦍,0,NA,15,NA,NA,TRUE,77.9,98,2023-02-08,9H 17M 18S,25.03,57.2,333.13,26.25,92.07,0,Wed,Feb,2,2023
Courmayeur,0,NA,13,NA,NA,TRUE,87.6,108,2023-02-07,10H 59M 20S,20.01,49.53,297.93,24.24,87.37,0,Tue,Feb,2,2023
Lunch Run,103,NA,14,NA,NA,TRUE,150.3,179,2023-02-05,11H 14M 57S,8.46,53.32,62.6,9.51,15.92,1.93,Sun,Feb,2,2023
Vassfjellet,0,NA,16,NA,NA,TRUE,92.5,121,2023-02-02,11H 6M 21S,15.74,36.8,292.3,25.67,79.76,0,Thu,Feb,2,2023
Gråkallen ,413,NA,15,NA,NA,TRUE,102.9,127,2023-02-01,18H 8M 13S,5.51,67.35,125.2,4.91,30.13,6.13,Wed,Feb,2,2023
Sesongdebut med feller,478,NA,16,NA,NA,TRUE,97.3,131,2023-01-29,8H 44M 48S,5.66,82.42,191.9,4.12,34.66,5.8,Sun,Jan,1,2023
Evening Run,102,NA,16,NA,NA,TRUE,152.5,181,2023-01-26,18H 10M 10S,9.9,63.5,65.95,9.36,19.36,1.61,Thu,Jan,1,2023
Møllekos,0,NA,28,NA,NA,TRUE,151.3,184,2023-01-24,11H 58M 24S,7.1,56.2,56.2,7.59,11.94,0,Tue,Jan,1,2023
Lunch Alpine Ski,0,NA,17,NA,NA,TRUE,86,104,2023-01-21,12H 54M 40S,10.42,22.43,172.7,27.88,85.43,0,Sat,Jan,1,2023
Evening Run,64.4,NA,NA,NA,NA,FALSE,NA,NA,2023-01-18,18H 26M 16S,6.56,41.33,44.17,9.53,24.65,1.56,Wed,Jan,1,2023
Gammelmannstrim,78,NA,NA,NA,NA,FALSE,NA,NA,2023-01-15,15H 13M 12S,6.23,59.67,61.02,6.27,17.28,1.31,Sun,Jan,1,2023
Afternoon Run,29.1,NA,NA,NA,NA,FALSE,NA,NA,2023-01-14,16H 6M 45S,5.31,32.12,34.92,9.92,22.95,0.91,Sat,Jan,1,2023
Afternoon Run,89.9,NA,NA,NA,NA,FALSE,NA,NA,2023-01-04,14H 40M 42S,5.22,34.47,35.13,9.08,19.07,2.61,Wed,Jan,1,2023
Løvstakken,518,NA,NA,NA,NA,FALSE,NA,NA,2023-01-03,14H 19M 27S,7.11,106.1,139.28,4.02,16.88,4.88,Tue,Jan,1,2023
